id,x,y,nearest_met_station_id,nearest_met_station_distance,nearest_met_station_angle,elevation_mean,traffic_speed,traffic_flow,link_length,fleet_mix_light,fleet_mix_medium,fleet_mix_heavy,fleet_mix_commercial,fleet_mix_bus,angle
53619.0,563312.4167,4483978.488,2.0,39206.36471,52.49966126,2.0,21.9990711805556,6.515697451388889,0.203546,0.0,0.0,0.0,0.0,1.0,338.737451089
53621.0,563284.1895,4484252.371,2.0,39004.96834,52.31721578,2.0,21.9990711805556,6.515697451388889,0.147261,0.0,0.0,0.0,0.0,1.0,5.86308066282
53709.0,563711.7193,4484496.067,2.0,38569.8196,52.76555686,8.25,18.346524902383045,92.94895130555551,0.1226,0.9151503885113618,0.0034897431653608943,0.0034897431653608943,0.003999966525380368,0.07010935727098337,68.777705946
53710.0,563491.0326,4484621.193,2.0,38639.83059,52.01725675,4.9285714285700015,20.88825763888889,75.26271027777774,0.257373,0.9837933048398106,0.004377988448916406,0.009205029371226204,0.002623677340046821,0.0,321.405382836
53712.0,563916.2884,4485174.188,2.0,37555.7796,52.57040295,8.941176470590003,24.68801786568121,82.7216583305556,0.591433,0.9093342243338708,0.00394613913474601,0.008309511042492708,0.002314233937784048,0.07609589155110642,56.338923652700004
53716.0,564435.3751,4486330.226,2.0,36743.32903,51.82974932,12.0,21.01067886845282,448.4883982638891,0.027066000000000003,0.9616635643631096,0.006141132006912138,0.008203480479988857,0.0067158814745067255,0.015974798118787378,357.38747784099996
53717.0,564429.7238,4486509.07,2.0,36502.6348,51.51347495,16.25,21.648741090173555,208.63667555555557,0.195382,0.9454434532119192,0.004787260619053398,0.009038313576886578,0.010835698260961243,0.029895274331179767,358.30129794
53718.0,564886.0717,4486345.007,2.0,36447.88987,52.43481846,26.0,8.466115972222182,1875.9682916666675,0.043354,0.9395899875665024,0.020904153647156327,0.024658831281556548,0.010997398629945549,0.003849628874839134,85.1208899163
53719.0,564585.1656,4486347.062,2.0,36619.67685,52.07916591,17.0,37.63737437500002,1681.738163194445,0.0638,0.9652056695399716,0.012422242968335532,0.016185683905775974,0.0020886028467557503,0.004097800739161221,265.65979887099996
53721.0,564792.9053,4484210.202,2.0,37830.74959,54.6146618,4.84375,25.532983382807164,468.0256697916668,0.59712,0.9438341811414936,0.012384686349326064,0.01129091172220151,0.006421614217835138,0.025272996369388647,71.17426293930001
