feature,mean,std_dev
distance,18587.011719342037,10051.468027346828
distance_inverse,2.9478775858119993e-05,2.4431046677683044e-05
nearest_link_distance_over_distance,0.04418652217446739,0.03662034648129808
elevation_difference,3.0336322824253257,21.580664199505755
vmt,155.98339177679063,379.20718791302573
wind_direction,197.92960802069973,2.587001982335626
wind_speed,4.0524754594807835,1.1179196661739872
traffic_speed,21.447890391520136,12.34032199377764
fleet_mix_light,0.8876441229676733,0.1591044622728954
fleet_mix_medium,0.027547067217677752,0.048894775680749604
fleet_mix_heavy,0.022100360226699627,0.039322679464319846
fleet_mix_commercial,0.021144081284980885,0.031509988619270714
fleet_mix_bus,0.043598903201121725,0.13316930682715497
