zipcode,population density (per sq mile),population
12116,49.5,1949
12958,49.4,1843
14037,49.4,855
12763,49.1,709
14711,49.0,1976
12193,48.8,1915
14065,48.8,1825
14782,48.7,2680
12724,48.7,368
13468,48.3,475
14842,48.3,808
14054,47.8,1189
12944,47.7,4386
14486,47.6,268
14138,47.5,2250
12965,47.5,454
12581,47.4,1936
14727,47.1,5161
12052,47.1,1477
12767,47.1,140
14858,47.0,1713
13144,47.0,1839
12960,46.9,1443
13318,46.9,1190
14167,46.9,1765
13141,46.8,616
14815,46.6,870
14823,46.6,3617
14560,46.6,1860
12409,46.4,673
14512,46.4,4765
14841,46.4,909
13803,46.1,4153
14039,46.0,86
14129,46.0,1436
13614,46.0,412
14736,45.9,240
14062,45.6,3311
13416,45.6,2385
12493,45.3,313
14055,45.1,1461
13830,45.1,5020
13433,45.1,2000
13620,45.0,2101
12028,44.8,1024
14549,44.5,5
12087,44.4,886
12046,44.3,772
12521,44.3,1470
13061,44.2,1193
13754,43.9,3561
12726,43.8,1312
13450,43.7,104
12913,43.6,1280
14743,43.5,1890
14812,43.4,3369
13438,43.4,3821
14748,43.4,793
12153,43.2,786
13335,43.2,1650
14809,43.2,2413
12448,43.2,514
13804,43.1,657
14777,42.9,656
14818,42.8,1598
13786,42.6,664
13654,42.5,3000
14013,42.4,1732
12817,42.3,2358
13439,42.2,3655
13418,42.2,220
14415,42.0,61
14813,42.0,2559
14755,41.3,3120
12503,41.3,874
13864,41.1,1096
13316,41.0,6655
12924,40.7,114
14807,40.7,2764
12407,40.7,137
13309,40.6,5940
14775,40.6,2284
13459,40.5,2069
12122,40.3,4372
12926,40.3,1954
12138,40.3,3247
12120,39.8,700
13071,39.8,989
12959,39.6,1532
14507,39.4,1292
12987,39.3,244
14171,39.2,2005
13691,39.0,2948
12966,38.9,3352
12439,38.6,303
14591,38.4,1552
12946,38.4,5124
14873,38.3,2832
12060,38.2,1324
13147,38.2,1372
14803,38.2,956
12197,38.0,2560
14861,37.8,1305
14767,37.7,2021
12529,37.6,2515
14836,37.5,1127
12941,37.5,1530
12136,37.5,682
13608,37.4,1502
13364,37.2,110
13660,37.2,2019
13146,37.2,2036
13736,37.1,2252
14826,37.1,2264
13808,36.9,1362
14719,36.9,3501
13843,36.8,2007
12996,36.8,1905
14878,36.8,590
13680,36.7,1301
13081,36.7,1062
14418,36.7,1371
12023,36.6,2120
13471,36.5,3442
14113,36.4,620
12741,36.3,304
12434,36.3,515
12042,36.3,158
12778,36.2,211
10020,36.2,1
12967,36.2,1361
14737,36.1,3997
12169,36.1,346
14897,36.1,921
14741,36.0,2218
14855,35.7,1002
14889,35.4,1594
13052,35.3,1745
12494,35.3,662
13844,35.2,847
12031,35.1,114
13484,34.9,89
12175,34.7,770
13856,34.6,6570
14898,34.6,2021
12496,34.5,1632
13775,34.4,1841
12983,34.4,7958
12064,34.3,392
13303,34.3,1213
14739,34.1,2699
13337,34.1,634
14754,34.0,565
13625,33.9,1920
12155,33.9,1934
13696,33.8,63
13302,33.8,1551
13656,33.8,2895
13618,33.8,1795
13361,33.7,955
12502,33.5,1114
14805,33.4,944
12474,33.2,1467
14724,33.2,2486
13846,33.2,271
13661,33.2,1676
12736,33.0,201
13650,32.9,1433
13333,32.9,56
12914,32.8,1053
11957,32.6,713
13665,32.4,1413
12436,32.3,500
12814,32.2,1477
12495,32.2,294
12998,32.2,391
13348,32.1,1188
14082,32.1,322
13343,32.0,1830
14709,32.0,1617
13750,31.7,858
14735,31.5,2627
13835,31.4,1326
13155,31.4,643
14542,31.3,58
12910,31.3,2046
14806,31.2,2149
14536,30.9,568
13697,30.5,2009
12732,30.5,787
13839,30.4,1214
12147,30.4,603
13483,30.3,212
14781,30.0,2181
14731,30.0,1374
12920,29.9,2813
14728,29.8,801
12166,29.8,1314
14804,29.7,1662
14060,29.7,531
12827,29.7,3705
12418,29.5,408
13788,29.5,1042
13757,29.4,1098
12758,29.4,4529
13315,29.4,1450
13083,29.3,1704
12022,29.1,944
14824,28.8,654
12743,28.6,252
13682,28.5,896
14822,28.5,1415
13464,28.5,1093
13613,28.4,2385
14066,28.3,1149
12873,28.3,598
13368,28.0,1307
12917,27.8,1198
13652,27.7,1864
12071,27.6,255
12452,27.6,237
13355,27.5,802
13810,27.5,1104
12093,27.4,1812
12435,27.3,274
12036,27.2,202
13301,27.2,71
13630,27.2,1318
12007,27.2,33
12459,26.9,205
13679,26.8,1810
13320,26.8,2064
14024,26.7,1700
12815,26.7,1056
14723,26.6,1149
12442,26.5,881
12750,26.4,118
12764,26.2,1607
14784,26.2,766
12454,26.1,292
12430,26.0,1034
13493,26.0,2034
13040,25.7,2482
14859,25.6,800
14714,25.4,464
12455,25.4,1978
13693,25.4,534
13658,25.1,1979
14708,25.0,264
12444,24.9,386
13136,24.9,464
12740,24.8,1867
12986,24.7,6176
12468,24.6,1077
12981,24.5,2612
13832,24.2,673
12930,24.1,875
12928,24.1,1843
13681,24.1,823
14729,24.0,853
12422,23.9,244
12835,23.7,2353
12985,23.7,1315
13342,23.5,188
13158,23.5,1676
13124,23.2,109
11430,23.2,171
14880,23.1,1272
13646,22.8,2681
13640,22.8,288
14846,22.8,785
12187,22.7,522
13739,22.6,911
12784,22.5,51
13485,22.4,994
12993,22.4,1619
13813,22.1,629
14717,21.8,602
12464,21.8,963
13626,21.6,2147
12768,21.4,758
14820,21.3,655
12932,21.0,1357
13755,21.0,1287
12421,21.0,411
14885,20.9,880
12861,20.9,698
12912,20.9,1982
14721,20.9,78
12469,20.8,707
13415,20.7,41
12076,20.6,1582
12950,20.2,956
13494,20.1,361
13621,20.0,561
12997,19.8,1296
13064,19.8,26
14753,19.3,1065
12776,19.1,2123
12134,19.1,3736
13324,18.8,2331
14819,18.7,773
13860,18.5,17
13783,18.4,2199
13367,18.2,8565
12934,18.1,1066
12970,18.0,972
13690,17.8,935
13072,17.7,832
12480,17.5,594
13472,17.5,260
13633,17.0,352
13801,16.9,1169
14839,16.9,744
12410,16.9,696
12406,16.8,729
12886,16.8,244
12936,16.7,517
13488,16.7,70
13486,16.6,547
12769,16.6,82
12017,16.6,332
13782,16.6,611
12808,16.5,414
12786,16.4,292
12935,16.4,1676
13454,15.9,688
12853,15.3,1351
12131,15.3,114
12427,15.1,620
12836,15.1,670
12942,14.9,791
13635,14.7,831
13847,14.6,48
13752,14.6,729
13327,14.5,1973
12720,14.0,187
12777,14.0,757
12952,13.9,402
13489,13.8,598
13473,13.8,639
12424,13.8,246
12955,13.4,465
12857,12.3,533
12416,12.2,62
13325,12.2,942
12923,12.1,635
13740,12.0,475
12760,11.8,505
12945,11.8,476
13731,11.5,1066
10910,11.3,24
14783,11.2,350
13648,11.1,2094
14877,10.8,460
12819,10.7,316
13756,10.7,498
13639,10.1,199
13470,10.1,695
12194,10.0,155
13659,10.0,568
12870,9.8,1122
12810,9.7,654
12878,9.6,832
14884,9.5,185
11973,9.1,40
12492,9.0,348
12450,9.0,89
12032,9.0,836
13441,8.6,31
13666,8.5,361
12164,7.5,370
13360,7.4,487
13684,7.0,1116
13670,6.6,490
13672,6.5,826
12874,6.4,139
12989,6.4,957
13312,6.3,408
12843,6.3,372
12973,5.9,219
13420,5.5,1278
12441,5.4,34
12841,5.2,89
12858,5.0,56
12190,4.8,856
12842,4.8,956
13437,4.5,435
13695,4.5,78
12980,4.3,1122
13338,4.2,1032
12976,4.1,163
12969,3.9,391
12852,3.9,493
13687,3.8,543
12964,3.2,113
12108,3.0,445
12725,2.9,194
12943,2.0,207
12862,2.0,5
12812,2.0,130
12851,1.9,221
10911,1.9,2
12927,1.8,228
13331,1.7,148
13436,1.3,64
12856,1.0,66
12855,0.9,172
12139,0.9,226
12847,0.9,418
12922,0.8,36
13353,0.2,31
