ID,DIR,angle
53619,1,338.73745108900
53621,1,5.86308066282
53709,0,68.77770594600
53710,0,321.40538283600
53712,0,56.33892365270
53716,0,357.38747784100
53717,0,358.30129794000
53718,1,85.12088991630
53719,1,265.65979887100
53721,0,71.17426293930
53723,0,74.53199344400
53724,0,52.85680166590
53725,0,45.20345728270
53727,0,349.19374709000
53728,1,166.90064535300
53729,1,84.80719501030
53730,1,205.01158448000
53731,1,263.73611379900
53732,1,135.29334474200
53733,0,86.60833304920
53734,1,83.41617725410
53735,1,55.17688086870
53736,1,266.50054533900
53737,1,86.14615991960
53738,1,238.93114576300
53739,0,94.15730606900
53742,1,299.13489383100
53743,1,264.84158306100
53747,1,260.61647965000
53748,1,77.61899154390
53749,1,251.17590472000
53751,1,181.67026225100
53753,1,175.84689712500
53754,1,249.44973645900
53755,1,198.28116007500
53756,1,225.14069531600
53757,1,175.11632677800
53759,1,173.54963968500
53760,1,181.47848432900
53761,1,8.45223556226
53762,1,2.16297515561
53763,1,207.97388881700
53764,1,304.25403092700
53765,1,70.26256472100
53767,1,44.61603166610
53768,1,337.30620116800
53769,1,249.52680091900
53770,1,66.98733250760
53771,1,5.37562369585
53772,0,359.03739999700
53774,0,56.57142262620
53776,0,55.59722824420
53780,1,24.95937715620
53781,0,342.84595375000
53782,0,340.46751645900
53785,0,342.07395780200
53786,0,22.37481676900
53787,0,85.09026467800
53789,0,77.53366908620
53790,0,352.01752642400
53793,1,69.57216368230
53794,1,251.03128264800
53795,1,69.63306194850
53796,1,249.22849453800
53797,1,248.96259107600
53798,0,356.27421609100
53799,1,306.03861468500
53800,1,70.71251994070
53801,0,350.46448076400
53802,0,338.39569520300
53803,1,68.91898528010
53804,1,76.94303788460
53805,1,69.36379788800
53806,1,243.00851013000
53807,1,249.43282314600
53808,1,248.93467338100
53809,1,69.15932142940
53810,1,253.97534175200
53811,1,249.64147484200
53812,1,69.49264902520
53813,1,249.74570728000
53814,1,63.42347606980
53815,1,69.39600503780
53816,0,348.42492737800
53818,1,249.20427226700
53819,0,332.98022406500
53820,0,59.49542097190
53821,0,335.63897957000
53822,0,346.18614527400
53823,0,69.80454801260
53824,0,25.10341804320
53825,0,337.69063328800
53827,1,249.28671719500
53828,1,248.36854764400
53829,1,79.66061900540
53830,1,49.72061405280
53831,0,54.01645268440
53832,0,330.69262899200
53833,0,63.54841738530
53834,0,85.50677047480
53835,0,342.95509593600
53836,1,32.88003411930
53837,1,53.56627000620
53838,0,84.22783853720
53839,0,342.80740489400
53840,1,225.95733026000
53841,1,229.97790636500
53842,1,76.50028917040
53843,1,60.38115678460
53844,1,241.45039232400
53845,1,234.68468860700
53846,0,80.47844943950
53847,0,112.01188298900
53848,0,317.94280326300
53849,1,42.45945625890
53850,0,3.10717359021
53851,0,54.98554889980
53853,1,248.70226507900
53855,1,56.86034203520
53858,1,235.02786802000
53859,0,339.39565642800
53860,0,77.94087490360
53861,0,337.65735132900
53863,0,338.79198142900
53864,1,243.01333279800
53865,0,339.66197094100
53866,0,337.26480456300
53867,1,70.59556729910
53868,1,58.10538095290
53869,1,33.79686424100
53870,1,40.18393174260
53871,1,34.53106571470
53872,1,34.27252721600
53873,1,246.32240288600
53874,1,238.53182957400
53875,1,214.42429675300
53877,0,16.89284061370
53878,0,62.59709155470
53905,1,177.12786103400
53907,1,213.48812457300
53908,1,44.18785199610
