OBJECTID,ID,LinkID,Width,Center_X,Center_Y,Start_X,Start_Y,End_X,End_Y,NEAR_FID,NEAR_DIST,NEAR_ANGLE
4415,61233,61233,7.2,586556.0283,4516572.175,586490.7629,4516608.382,586621.2936,4516535.968,2,1397.720535,-68.13781719
4416,61234,61234,7.2,586340.2352,4516488.581,586316.1358,4516403.614,586392.031,4516559.044,2,1427.773594,-54.67125293
4417,61235,61235,7.2,586471.2785,4516618.701,586451.794,4516629.021,586490.7629,4516608.382,2,1516.460506,-64.57724008
4418,61236,61236,10.8,586656.8103,4513054.866,586680.9448,4513098.836,586632.6757,4513010.896,2,2188.988517,77.84718508
4419,61237,61237,14.4,586630.893,4513127.227,586580.8412,4513155.619,586680.9448,4513098.836,2,2157.348743,74.92943379
4420,61238,61238,7.2,586747.0608,4513061.141,586680.9448,4513098.836,586813.1768,4513023.446,2,2188.988517,77.84718508
4421,61239,61239,10.8,586698.9864,4513133.242,586717.0279,4513167.648,586680.9448,4513098.836,2,2114.224128,78.41055386
4422,61240,61240,10.8,586831.5075,4513058.356,586813.1768,4513023.446,586849.8382,4513093.265,2,2165.273157,82.25152485
4423,61241,61241,7.2,586881.7069,4512985.17,586813.1768,4513023.446,586950.2369,4512946.894,2,2239.559447,81.56297124
4424,61242,61242,10.8,586751.6422,4513232.059,586786.2564,4513296.469,586717.0279,4513167.648,2,1974.567651,79.62753743
4425,61243,61243,7.2,586783.4331,4513130.457,586849.8382,4513093.265,586717.0279,4513167.648,2,2114.224128,78.41055386
4426,61244,61244,10.8,586887.4848,4513161.764,586849.8382,4513093.265,586925.1314,4513230.263,2,2020.155221,83.84383752
4427,61245,61245,7.2,586920.461,4513056.457,586991.0838,4513019.649,586849.8382,4513093.265,2,2165.273157,82.25152485
4428,61246,61246,21.6,587027.1272,4513088.019,586991.0838,4513019.649,587063.1705,4513156.389,2,2083.86235,87.8383891
4429,61247,61247,10.8,586983.5185,4513336.642,586925.1314,4513230.263,587041.9055,4513443.022,2,1798.520785,86.81695638
4430,61248,61248,7.2,586826.9253,4513566.225,586737.5041,4513603.098,586908.0503,4513513.282,2,1684.888346,76.11721137
4431,61249,61249,7.2,586634.8655,4513642.608,586544.4559,4513704.756,586737.5041,4513603.098,2,1646.200835,68.7250335
4432,61250,61250,10.8,586847.1534,4513404.875,586908.0503,4513513.282,586786.2564,4513296.469,2,1741.243422,82.28614234
4433,61251,61251,3.6,586974.9779,4513478.152,586908.0503,4513513.282,587041.9055,4513443.022,2,1741.243422,82.28614234
4434,61253,61253,10.8,586925.4755,4513549.68,586942.9007,4513586.078,586908.0503,4513513.282,2,1664.612458,83.13854491
4435,61254,61254,10.8,587060.2036,4513476.933,587041.9055,4513443.022,587078.5016,4513510.843,2,1729.082714,87.90303082
4436,61255,61255,3.6,587110.2024,4513406.411,587041.9055,4513443.022,587178.4993,4513369.8,2,1798.520785,86.81695638
4437,61256,61256,10.8,587158.7591,4513006.577,587190.7319,4513069.293,587126.7863,4512943.862,2,2170.027525,91.29285772
4438,61257,61257,10.8,587215.7544,4513112.831,587240.7769,4513156.37,587190.7319,4513069.293,2,2084.750986,92.72205199
4439,61258,61258,7.2,587310.0981,4513119.106,587240.7769,4513156.37,587379.4193,4513081.842,2,2084.750986,92.72205199
4440,61259,61259,7.2,587248.7506,4513332.213,587178.4993,4513369.8,587319.0018,4513294.627,2,1869.329567,91.12583564
4441,61260,61260,21.6,587197.761,4513404.277,587178.4993,4513369.8,587217.0227,4513438.754,2,1801.58614,92.39394905
4442,61261,61261,21.6,587120.8349,4513263.094,587063.1705,4513156.389,587178.4993,4513369.8,2,1869.329567,91.12583564
